0  1.24993 0.0018226  0.875472  182.256
0.126  -1.25928  2.01665  103.55  9.57366
0.127  -1.15155  2.02308  111.931  3.19786
0.128  -1.03541  2.02286  120.333  -3.7303
0.129  -0.910912  2.0154  128.643  -11.2885
0.13  -0.778216  2.00004  136.685  -19.5551
0.131  -0.637712  1.97603  144.212  -28.6002
0.132  -0.490077  1.94257  150.884  -38.4723
0.133  -0.336371  1.89881  156.277  -49.1782
0.134  -0.178111  1.84395  159.905  -60.6584
0.135  -0.0173134  1.77728  161.277  -72.7683
0.136  0.143556  1.69828  159.994  -85.2765
0.137  0.301717  1.60669  155.848  -97.8937
0.138  0.454312  1.50256  148.893  -110.331
0.139  0.598664  1.38617  139.424  -122.36
0.14  0.732464  1.25802  127.863  -133.828
0.141  0.853826  1.11874  114.608  -144.614
0.142  0.961207  0.969079  99.9328  -154.545
0.143  1.05327  0.810027  83.9899  -163.343
0.144  1.1288  0.642884  66.8991  -170.672
0.145  1.18675  0.469269  48.8425  -176.252
0.146  1.22625  0.290998  30.0851  -179.981
0.147  1.24678  0.109904  10.9204  -181.919
0.148  1.24805  -0.0722803  -8.38712  -182.175
0.149  1.23004  -0.253893  -27.6004  -180.768
0.15  1.19296  -0.433234  -46.468  -177.614
0.151  1.13731  -0.608512  -64.7116  -172.635
0.152  1.06384  -0.777911  -82.0669  -165.881
0.153  0.97354  -0.93975  -98.3284  -157.558
0.154  0.867599  -1.0926  -113.33  -147.946
0.155  0.747368  -1.2353  -126.865  -137.3
0.156  0.614462  -1.36692  -138.616  -125.816
0.157  0.470869  -1.48671  -148.166  -113.671
0.158  0.319001  -1.59411  -155.109  -101.083
0.159  0.161609  -1.68882  -159.19  -88.3389
0.16  0.00158071  -1.77085  -160.4  -75.7619
0.161  -0.158312  -1.8405  -158.978  -63.6539
0.162  -0.315637  -1.89839  -155.342  -52.2437
0.163  -0.468421  -1.94527  -149.981  -41.6668
0.164  -0.615185  -1.98202  -143.376  -31.9721
0.165  -0.754898  -2.0095  -135.942  -23.1442
0.166  -0.886902  -2.02857  -128.007  -15.1274
0.167  -1.01083  -2.04  -119.818  -7.84578
0.168  -1.12651  -2.04448  -111.545  -1.21621
0.169  -1.23393  -2.04263  -103.302  4.84342
0.17  -1.33315  -2.03496  -95.1575  10.4102
0.171  -1.42429  -2.02195  -87.1488  15.5546
0.172  -1.50749  -2.00397  -79.2889  20.34
0.173  -1.58291  -1.98137  -71.5748  24.8232
0.174  -1.65069  -1.95441  -63.9915  29.055
0.175  -1.71093  -1.92333  -56.5159  33.081
0.176  -1.76375  -1.8883  -49.1188  36.9426
0.177  -1.80919  -1.84948  -41.7665  40.6772
0.178  -1.84728  -1.80698  -34.4214  44.3192
0.179  -1.87802  -1.76086  -27.0429  47.9003
0.18  -1.90134  -1.71119  -19.5872  51.45
0.181  -1.91715  -1.65797  -12.0075  54.9959
0.182  -1.9253  -1.60119  -4.25354  58.564
0.183  -1.92558  -1.54082  3.72896  62.1789
0.184  -1.91774  -1.47681  11.9986  65.8638
0.185  -1.90147  -1.40906  20.6191  69.6403
0.186  -1.87637  -1.33749  29.6603  73.529
0.187  -1.84198  -1.26196  39.1991  77.5482
0.188  -1.79777  -1.18234  49.3208  81.7143
0.189  -1.74311  -1.09848  60.1204  86.0408
0.19  -1.67727  -1.01021  71.7045  90.5369
0.191  -1.5994  -0.917348  84.1936  95.2065
0.192  -1.50854  -0.819736  97.7247  100.045
0.193  -1.40356  -0.717206  112.455  105.038
0.194  -1.28317  -0.60962  128.566  110.15
0.195  -1.14589  -0.496887  146.272  115.319
0.196  -0.990008  -0.378999  165.829  120.435
0.197  -0.813513  -0.256104  187.551  125.284
0.198  -0.614055  -0.128661  211.831  129.421
0.199  -0.38884  0.00211171  239.134  131.579
0.2  -0.135106  0.13194  267.531  125.174
0.201  0.135769  0.245886  268.351  102.568
0.202  0.394764  0.339638  248.442  86.2549
0.203  0.632032  0.420107  226.164  75.2378
0.204  0.84747  0.490925  204.959  66.7048
0.205  1.04248  0.554008  185.321  59.6625
0.206  1.21864  0.610592  167.262  53.6527
0.207  1.37749  0.661571  150.674  48.4186
0.208  1.52043  0.707633  135.419  43.7968
0.209  1.64873  0.749331  121.356  39.6733
0.21  1.7635  0.787117  108.349  35.9633
0.211  1.86574  0.821373  96.2758  32.6008
0.212  1.95632  0.852417  85.0208  29.5319
0.213  2.03601  0.880519  74.4804  26.7117
0.214  2.10549  0.90591  64.5593  24.1019
0.215  2.16531  0.928782  55.1705  21.6689
0.216  2.21598  0.949297  46.2342  19.3829
0.217  2.25791  0.967588  37.6763  17.217
0.218  2.29143  0.983763  29.4279  15.1465
0.219  2.31684  0.997905  21.4242  13.1482
0.22  2.33434  1.01008  13.604  11.2001
0.221  2.34409  1.02031  5.90812  9.28103
0.222  2.34618  1.02864  -1.72038  7.36997
0.223  2.34065  1.03505  -9.33766  5.44592
0.224  2.32749  1.03952  -16.9995  3.48741
0.225  2.30662  1.04201  -24.7619  1.47212
0.226  2.27792  1.04244  -32.682  -0.62359
0.227  2.24119  1.04072  -40.8186  -2.82512
0.228  2.19619  1.03674  -49.2329  -5.16022
0.229  2.14261  1.03035  -57.989  -7.65966
0.23  2.08007  1.02136  -67.1548  -10.358
0.231  2.00814  1.00955  -76.8024  -13.2947
0.232  1.92628  0.994674  -87.0085  -16.5152
0.233  1.83391  0.976411  -97.8552  -20.0728
0.234  1.73033  0.954395  -109.429  -24.0311
0.235  1.61478  0.928189  -121.821  -28.4672
0.236  1.48638  0.89727  -135.124  -33.4764
0.237  1.34419  0.861005  -149.426  -39.1805
0.238  1.18717  0.818625  -164.804  -45.74
0.239  1.01422  0.769167  -181.291  -53.3768
0.24  0.824239  0.711405  -198.824  -62.4161
0.241  0.616319  0.643701  -217.085  -73.3707
0.242  0.390159  0.563743  -235.009  -87.1061
0.243  0.147487  0.468124  -249.169  -104.908
0.244  -0.104062  0.35263  -250.905  -126.32
0.245  -0.347215  0.21701  -232.46  -143.02
0.246  -0.566426  0.0704219  -205.802  -148.736
0.247  -0.759245  -0.0785833  -180.204  -148.677
0.248  -0.927622  -0.226102  -156.943  -146.069
0.249  -1.07388  -0.370289  -135.932  -142.143
0.25  -1.20015  -0.510141  -116.918  -137.47
